{'instance': 1, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x10a5353a0>, 'ignition_node': (2.0, 2.0), 'OFV': '22.000000000000007', 'LB': '21.99999999999998', 'BurnedNodes': '21.0', 'NodeCount': '1.0', 'SolCount': '6', 'Runime': '2.070755958557129', 'TotalTime': 3.4042959213256836}
{'instance': 2, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x10a535430>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.999999999999964', 'BurnedNodes': '23.0', 'NodeCount': '1.0', 'SolCount': '5', 'Runime': '0.8700780868530273', 'TotalTime': 1.7048609256744385}
{'instance': 3, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x10b21bc10>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.999999999999986', 'BurnedNodes': '23.0', 'NodeCount': '1.0', 'SolCount': '4', 'Runime': '0.9032351970672607', 'TotalTime': 1.6891279220581055}
{'instance': 4, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x1114a94c0>, 'ignition_node': (2.0, 2.0), 'OFV': '23.000000000000007', 'LB': '22.999999999999975', 'BurnedNodes': '22.0', 'NodeCount': '1.0', 'SolCount': '4', 'Runime': '0.5649170875549316', 'TotalTime': 1.3700790405273438}
{'instance': 5, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x11176d970>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.99999999999998', 'BurnedNodes': '23.0', 'NodeCount': '9.0', 'SolCount': '5', 'Runime': '1.9667060375213623', 'TotalTime': 2.762148141860962}
{'instance': 6, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x111799eb0>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.99999999999999', 'BurnedNodes': '23.0', 'NodeCount': '1.0', 'SolCount': '6', 'Runime': '0.8262269496917725', 'TotalTime': 1.639540195465088}
{'instance': 7, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd340>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.999999999999986', 'BurnedNodes': '23.0', 'NodeCount': '1.0', 'SolCount': '3', 'Runime': '0.7155389785766602', 'TotalTime': 1.5468180179595947}
{'instance': 8, 'size': 6, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd3d0>, 'ignition_node': (2.0, 2.0), 'OFV': '24.000000000000007', 'LB': '23.999999999999993', 'BurnedNodes': '23.0', 'NodeCount': '1.0', 'SolCount': '4', 'Runime': '0.40622806549072266', 'TotalTime': 1.194694995880127}
{'instance': 9, 'size': 10, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd400>, 'ignition_node': (4.0, 4.0), 'OFV': '37.999999999999986', 'LB': '37.99999999999979', 'BurnedNodes': '37.0', 'NodeCount': '170.0', 'SolCount': '8', 'Runime': '18.754611015319824', 'TotalTime': 23.028016090393066}
{'instance': 10, 'size': 10, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd190>, 'ignition_node': (4.0, 4.0), 'OFV': '40.999999999999986', 'LB': '40.99999999999998', 'BurnedNodes': '40.0', 'NodeCount': '884.0', 'SolCount': '2', 'Runime': '61.91149020195007', 'TotalTime': 66.22138690948486}
{'instance': 11, 'size': 10, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd5b0>, 'ignition_node': (4.0, 4.0), 'OFV': '39.999999999999986', 'LB': '39.999999999999986', 'BurnedNodes': '39.0', 'NodeCount': '1140.0', 'SolCount': '4', 'Runime': '62.578437089920044', 'TotalTime': 66.87901973724365}
