instance,FRP,best_OFV_CH,best_OFV_LS,best_OFV_ILS,avg_OFV_CH,avg_OFV_LS,avg_OFV_ILS,avg_runtime,total_runtime
1,,22.0,22.0,21.0,22.0,22.0,21.2,3.9667779922485353,19.833889961242676
2,,30.0,30.0,25.0,30.0,30.0,25.4,5.917857551574707,29.589287757873535
3,,28.0,28.0,26.0,28.0,28.0,26.96,5.302548599243164,26.51274299621582
4,,26.0,26.0,26.0,26.0,26.0,26.0,3.637442636489868,18.18721318244934
5,,28.0,28.0,27.0,28.0,28.0,27.0,4.825348615646362,24.12674307823181
6,,29.0,29.0,27.0,29.0,28.8,27.0,5.569620990753174,27.84810495376587
7,,30.0,30.0,27.0,30.0,30.0,27.0,5.450044822692871,27.250224113464355
8,,31.0,31.0,28.0,31.0,30.6,28.0,4.8434652328491214,24.217326164245605
9,,32.0,32.0,32.0,32.0,32.0,32.0,14.517022800445556,72.58511400222778
10,,51.0,51.0,44.0,51.0,51.0,44.0,26.939478206634522,134.6973910331726
11,,46.0,46.0,41.0,46.0,46.0,43.0,18.959863805770873,94.79931902885437
12,,54.0,54.0,53.0,54.0,54.0,53.8,12.870194005966187,64.35097002983093
13,,54.0,54.0,53.0,54.0,54.0,53.6,14.322023010253906,71.61011505126953
14,,61.0,57.0,54.0,61.0,57.0,54.8,32.54471783638,162.72358918190002
15,,73.0,73.0,62.0,73.0,71.6,62.2,26.726118183135988,133.63059091567993
16,,73.0,73.0,62.0,73.0,72.4,63.0,26.769056415557863,133.8452820777893
17,,45.0,45.0,44.0,45.2,45.2,44.0,190.65799322128296,953.2899661064148
18,,64.0,64.0,58.0,64.0,64.0,58.0,149.40538535118102,747.0269267559052
